SMILES                                                      Zinc_ID
c1cc(c(cc1CC(=O)N1CC[C@H](C1)Nc1ccc(cn1)[N+](=O)[O-])O)C        ZINC89452546
C(#N)CCn1cc(c2ccccc12)/C=C/C(=O)Oc1ccc2cn[nH]c2c1               ZINC86023227
c1cc(cc2c1CCN(C(=O)NCCc1ccc(c(c1)OC)OC)C2)O                     ZINC43001206
C(#N)c1ccc(cc1)CN(C(=O)Nc1cc(ccc1Cl)C(=O)NC)C                   ZINC48502506
C(#N)c1ccc(cc1Cl)N1CCC(CC1)Oc1ccnc(c1)C(=O)N                    ZINC92946254
c1cc(c(c(c1)[N+](=O)[O-])C)C(=O)OCC(=O)Nc1ccc(cc1)C(=O)N        ZINC03235725
c1cc(cc2c1cc[nH]2)NC(=O)Cc1nc(C(=O)NCCCOC)on1                   ZINC36352721
c1cc(c(cc1CC[NH2+][C@H]1C(=O)N(c2ccc(cc2)OC)C(=O)C1)O)O         ZINC03901170
c1cc(cc(c1)CNC(=O)CCC(=O)N1CCOCC1)c1nc(C)[nH]n1                 ZINC89999031
c1cc(cc(c1)C[C@@H]1CC[N@H+](CC1)Cc1cn(CCO)nc1C)C(=O)[O-]        ZINC72162704
c1cc(ccc1C1=C[SH+]N=N1)C[N@H+]1CC[C@@H](CC1)n1cc(C[NH3+])nn1    ZINC23369222
c1cc(cc(c1C(=O)N)F)NC(=O)Nc1ccc2c(c1)nc(COC)o2                  ZINC79802379
C(#N)c1cc(c(c(c1)F)N1CCC(CC1)Oc1ccnc(c1)C(=O)N)F                ZINC92945855
c1cc(ccc1N1C(=O)[C@H](CC(=O)Nc2ccc(cc2)O)SC1=O)O                ZINC16926167
c1ccc2c(c1)c(c[nH]2)CC(=O)N/N=C(/c1ccc(cc1)n1cncn1)\C           ZINC20818150
c1cc(ccc1C(=O)NC)CNC(=O)CCCc1ccc(c(c1)F)OC                      ZINC84523848
C(#N)c1ccc(cc1)NCC(=O)Nc1ccc(c(c1)S(=O)(=O)NC)C                 ZINC78503856
c1cc(cc(c1)NC(=O)NCCNc1ccc(cc1)[N+](=O)[O-])C[NH+](C)C          ZINC44276690
C(#N)c1ccc(cc1)OC[C@H](CSc1nc(c2ccsc2n1)N)O                     ZINC58453160
c1cc(ccc1[C@H]1CC[N@@H+](CC1)C[C@@H](COc1ccc(cc1)OC)O)O         ZINC14246322
C(#N)c1ccc(cc1)N1C(=O)[C@H](CC1)OC(=O)Cc1c[nH]c2ccccc12         ZINC84590543
C(#N)CCn1cc(c2ccccc12)/C=C/C(=O)Oc1cccc(c1)C(=O)N               ZINC51829376
c1ccc2c(c1)c(c[nH]2)CC(=O)N1CC(c2nc(c3ccncc3)no2)C1             ZINC49481700
c1cc(c(cc1C(=O)CCC(=O)NCCCc1ccc(cc1)O)F)OC                      ZINC81774514
c1cc(ccc1CNC(=O)CCCc1ccc(c(c1)F)OC)NC(=O)N                      ZINC84579976
c1cc(ccc1CCNC(=O)CNc1ccc(c(c1)NC(=O)C)F)OC                      ZINC43567763
c1cc(ccc1N1C[C@@H](C)O[C@H](C1)C)NC(=O)Nc1cnn(c1)CCO            ZINC69299922
c1c(c(cc2c1OCO2)C[N@@H+]1CC[C@H](CC1)Cn1cc([C@H](C)O)nn1)C      ZINC20866346
c1c(ncnc1NC1CC1)N1CCC(CC1)CCC(=O)N1CCOCC1                          ZINC65274164
c1ccc2c(c1)c1cc(ccc1n2CCO)/N=N/c1ccc(cc1)[N+](=O)[O-]              ZINC04521034
c1cc(cnc1)CCC(=O)Nc1ccc(cc1)n1c2c(cn1)c(=O)[nH]cn2                 ZINC29674617
c1cc(cc(c1)CSCCCOc1ccc(cc1)[N+](=O)[O-])C(=O)NC                    ZINC72998568
c1cc(ccc1N1C(=O)CN(C(=O)CCc2csc(n2)N)CC1)OC                        ZINC77523911
c1cc(cc(c1)C[NH+]1CCN(CC1)Cc1cccc(c1)O)c1cccnc1                    ZINC92789549
c1cc(cc(c1)[N+](=O)[O-])[C@H](CC)NC(=O)NCc1ccc(c(c1)CO)F           ZINC90619880
c1cc(ccc1c1nnco1)OCCOc1ccc(cc1)S(=O)(=O)N                          ZINC31705414
C(#N)COc1ccc(cc1)NC(=O)c1cc(ccc1OC)S(=O)(=O)N                      ZINC18828701
c1cc(ccc1C(=O)C)Oc1ccc(cc1)C(=O)Nc1ccc(c(c1)O)C                    ZINC90064626
c1cc(cc(c1)COc1ccc(C)nc1)C(=O)Nc1ccc(cc1)C(=O)N                    ZINC74395466
C(#N)COc1ccc(cc1)/C=C/C(=O)Nc1cccc(c1)NC(=O)C1CC1                  ZINC45631078
c1cc(cc(c1)O)C[N@H+]1CC[C@H](CC1)NC(=O)CC[C@@H]1C(=O)NC(=O)N1      ZINC91440412
c1cc2c(c(c1)O)CC[C@H]2NC(=O)[C@H](c1ccc2cc(ccc2c1)OC)C             ZINC76688579
c1cc(cc(c1)CO)CNC(=O)N[C@@H](c1ccc(cc1)c1ccncc1)C                  ZINC74876519
c1ccc(cc1)[C@H](CNC(=O)/C=C/c1ccc(cc1)n1ccnc1)[NH+](C)C            ZINC72595859
c1cc(cnc1)CN1CC[NH+](CC1)CCc1ccc(cc1)S(=O)(=O)N                    ZINC91076965
c1c(ncnc1NCCC)N1CCC(CC1)CCC(=O)N1CCOCC1                            ZINC65274099
c1cc(cc(c1)NC(=O)COc1ccc2c(c1)CCC(=O)N2)c1cn[nH]c1                 ZINC90498229
C(#N)c1ccc(cc1)n1c(cc(c1C)C(=O)NCc1ccc(C(=O)N)o1)C                 ZINC82975947
c1cc(cnc1)c1cn(C2CCN(c3c4c(nc(n3)N)[nH]cn4)CC2)nn1                 ZINC67694795
c1cc2c(c(c1)O)CC[C@H]2NC(=O)/C=C/c1ccc(cc1)N1C(=O)CCC1             ZINC74142249
C(#N)[C@@H](C)Oc1ccc(cc1)/C=C/C(=O)c1ccc(cc1)CCNC(=O)C             ZINC92209857
C(#N)Cc1cccc(c1)C(=O)N1CCN(CC1)Cc1ccc(cc1)C(=O)N                   ZINC53394563
c1cc(cc(c1)S(=O)(=O)N)[C@H](C)NC(=O)CCCc1ccc(cc1)O                 ZINC75109323
c1c(csc1C[N@@H+]1CC[C@H](CC1)CNC(=O)c1cnn(c1)C)C(=O)N              ZINC92759677
c1cc(cc(c1c1ccc(CO)o1)Cl)NC(=O)c1ccc([N+](=O)[O-])o1               ZINC20139762
c1cc(ccc1C[N@@H+]1CC[C@H](CC1)CNc1cc(nc(n1)N)Cl)OC                 ZINC63282511
c1ccc(c(c1)c1nc(/C=C/c2ccc(cc2)OCC(=O)[O-])nc(n1)N)O               ZINC08515879
c1cc2c(c(c1)O)CC[C@@H]2NC(=O)c1cc(C)n(c2ccc(cc2)OC)n1              ZINC92458472
C(#N)c1ccc(cc1)CNC(=O)N1CCC(C(=O)c2ccc(cc2)O)CC1                   ZINC46042691
C(#N)CCCOc1cccc(c1)NC(=O)Cc1c[nH]c2ccc(cc12)OC                     ZINC77702360
c1cnc(cc1O[C@@H]1CC[N@H+](CC1)Cc1cc([N+](=O)[O-])sc1)C(=O)N        ZINC93261459
c1cc(ccc1[C@@H](C)NC(=O)Nc1ccc(c(c1)C(=O)N)C)n1ccnc1               ZINC67314016
c1cc(ccc1C(=O)NCc1ccc(cc1)Cn1cncn1)CNC(=O)C                        ZINC78358096
c1cc(cc(c1)CNC(=O)N[C@H](c1ccc(cc1)n1ccnc1)C)C(=O)N                ZINC29328886
c1cc(ccc1C(=O)N1CCN(c2ccc(nn2)n2ccnc2)CC1)NC                       ZINC70974877
c1cc(ccc1CCNc1cc(ncn1)N1CCOCC1)S(=O)(=O)N                          ZINC65526115
c1cc(cc(c1)OCCN1CCOCC1)CNc1cc(nc(n1)N)Cl                           ZINC60102973
